epoch,train_loss,val_loss,val_acc,best_val_loss,lr,elapsed_s
1,7.097405,5.415849,0.552005,5.415849,9.94e-05,409.6
2,3.947012,2.546855,0.975072,2.546855,9.76e-05,359.9
3,1.565528,0.938856,0.996627,0.938856,9.46e-05,351.0
4,0.682320,0.505745,0.998443,0.505745,9.05e-05,369.3
5,0.413696,0.330049,0.998817,0.330049,8.54e-05,359.3
6,0.291703,0.246806,0.998935,0.246806,7.94e-05,343.8
7,0.227275,0.199364,0.998956,0.199364,7.27e-05,327.0
8,0.185541,0.171136,0.998947,0.171136,6.55e-05,339.1
9,0.158452,0.146074,0.998943,0.146074,5.78e-05,338.9
10,0.141322,0.132045,0.998962,0.132045,5.00e-05,369.8
11,0.127850,0.122033,0.998955,0.122033,4.22e-05,350.3
12,0.119446,0.113112,0.998968,0.113112,3.45e-05,341.3
13,0.111493,0.107553,0.998964,0.107553,2.73e-05,345.9
14,0.106339,0.103296,0.998973,0.103296,2.06e-05,331.3
15,0.101399,0.101438,0.998983,0.101438,1.46e-05,334.6
16,0.098423,0.095795,0.998964,0.095795,9.55e-06,336.8
17,0.095283,0.093869,0.998987,0.093869,5.45e-06,344.3
18,0.093826,0.092233,0.998971,0.092233,2.45e-06,356.5
19,0.092577,0.091665,0.998974,0.091665,6.16e-07,344.2
20,0.092131,0.091465,0.998986,0.091465,0.00e+00,345.6
TEST,,,,test_loss=0.088162,test_acc=0.999461,
